Column,Name of Column,Test question,Data Type,Data Processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,67.6,1,2,,,,,FALSE,,0,3,93,2,0,0,1|2,,0,,181,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,60,23/10/2017
,75.1,1,3,,,,,FALSE,,2,2,94,3,0,0,1|2|5|6,,0,,6,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,53,16/10/2017
,69.5,2,1,,,,3,FALSE,,2|6,2,192,3,0,0,1|3|4|5|6,,0,,,4,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,64,27/10/2017
,76.3,2,2,,,,,FALSE,,1|2,3,74,3,0,0,1|5|6,,0,,8,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,4,FALSE,FALSE,,42,06/10/2017
,62.3,2,2,,,,,FALSE,,2,2,60,2,0,0,1,,0,,15,3,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,4,FALSE,FALSE,,51,16/10/2017
,71.8,1,1,,,,,FALSE,,2,2,90,2,0,0,1|2,,0,,,3,2,FALSE,2,1,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,,
,70.7,1,2,,,,,FALSE,,2,3,72,2,0,0,1|4,,0,,4,1,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,43,06/10/2017
,75.6,1,2,,,,,FALSE,,1|2|4,2,114,3,0,0,1|2|3|5|6,,0,,12,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,118,20/12/2017
,72,1,2,,,,,FALSE,,1|2,2,93,3,0,0,1|2|4|6,,0,,30,1,1,FALSE,1,0,FALSE,FALSE,5,,FALSE,1,3,TRUE,FALSE,,8,01/09/2017
,71.3,1,2,,,,,FALSE,,2,2,78,3,0,0,1|2|5|6,,0,,21,1,3,FALSE,2,1,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,,
,65.3,2,2,,,,,FALSE,,2,1,94,2,0,0,1|2|5|6,,0,,18,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,8,FALSE,FALSE,,100,04/12/2017
,74.1,2,1,,,,,FALSE,,6,3,106,3,0,0,1|2,,0,,,1,3,FALSE,2,,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,59,20/10/2017
,75.3,2,4,,,,,FALSE,,2,2,62,2,0,0,1|2|4|5|6,,1,,8,3,2,FALSE,2,,FALSE,FALSE,0,,FALSE,1,11,FALSE,FALSE,,48,11/10/2017
,77.9,2,2,,,,,FALSE,,2|3|4,2,68,3,0,0,1|2|3|4,,0,,10,1,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,72,02/11/2017
,71.3,1,3,,,,,FALSE,,0,2,86,2,0,0,1|5|6,,0,,11,1,1,FALSE,1,0,FALSE,FALSE,0,,TRUE,1,1,FALSE,FALSE,,44,02/10/2017
,84,2,2,,,,,FALSE,,1|2|4,3,105,3,0,0,1|2|4|5|6,,0,,3,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,50,09/10/2017
,74.1,1,2,,,,,FALSE,,2,1,99,3,0,0,2|5,,0,,2,3,2,FALSE,2,0,FALSE,FALSE,0,,FALSE,1,5,FALSE,FALSE,,,
,79.3,2,3,,,,,FALSE,,2,3,71,2,0,0,1|2|5,,0,,20,3,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,47,05/10/2017
,84.7,1,2,,,,2,FALSE,,2,2,135,3,0,0,1|2|4,,0,,11,3,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,11,,FALSE,,,
,86.2,1,2,,,,,FALSE,,2,1,79,2,0,0,1|2|4|5|6,,0,,12,3,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,4,,FALSE,,29,20/09/2017
,75.4,1,4,,,,,FALSE,,1|2|4|6,2,164,4,0,0,1|2|4|5|6,,1,,10,1,3,FALSE,2,1,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,41,27/09/2017
,66,1,4,,,,,FALSE,,2,1,50,3,0,0,1|2|4,,0,,9,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,100,FALSE,FALSE,,,
,69.5,1,3,,,,,FALSE,,4,1,106,3,0,0,1|2|3|4|5|6,,0,,24,1,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,74,31/10/2017
,84.3,2,2,,,,,FALSE,,1|2|4,2,97,3,0,0,1|3|4|5|6,,0,,9,1,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,61,17/10/2017
,78.9,2,1,,,,,FALSE,,1|2,1,57,3,0,0,1|2|4|5|6,,0,,,1,1,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,56,12/10/2017
,71.4,2,2,,,,,FALSE,,1|2|3|4|6,1,135,3,0,0,1|2|4|5|6,,0,,6,5,2,FALSE,2,2,FALSE,FALSE,1,,FALSE,1,3,FALSE,FALSE,,40,27/09/2017
,59.8,1,1,,,,,FALSE,,2|4,2,95,3,0,0,1|2|5|6,,0,,,1,3,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,161,25/01/2018
,83.4,2,3,,,,,FALSE,,4,2,54,3,0,0,1|2|3|5|6,,0,,19,3,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,41,27/09/2017
,80.3,1,2,,,,,FALSE,,2|4,2,73,3,1,0,4|5|6,,0,,9,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,2,,FALSE,,,
,50.1,1,2,,,,,FALSE,,2,2,77,2,0,0,1|2|4|5|6,,0,,4,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,37,22/09/2017
,75.8,1,2,,,,,FALSE,,2|3,2,138,3,0,0,1|2|4|5|6,,0,,7,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,65,20/10/2017
,86.7,2,2,,,,1,FALSE,,2|4,2,94,3,0,0,1|2|3|4|5,,0,,8,3,2,TRUE,2,0,FALSE,FALSE,0,,FALSE,1,4,,,,,
,68,1,2,,,,1,FALSE,,1|2,2,124,3,0,0,1|2|4,,0,,22,5,2,FALSE,2,1,FALSE,FALSE,0,,FALSE,1,11,,FALSE,,,
,76.8,1,2,,,,,FALSE,,2|6,2,243,1,0,0,1|4|5|6,,0,,19,1,1,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,,
,64.8,1,2,,,,,FALSE,,2|3,2,73,2,0,0,1|2|4|5,,0,,7,5,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,5,FALSE,FALSE,,51,05/10/2017
,68.6,1,1,,,,,FALSE,,3,3,108,2,0,0,1|2|5|6,,0,,,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,22,06/09/2017
,77.7,1,2,,,,,FALSE,,0,2,88,2,0,0,1|2|5|6,,0,,8,4,2,TRUE,2,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,,
,76.2,1,2,,,,1,FALSE,FALSE,1|2,3,102,3,0,0,2|3|5|6,,0,,6,3,1,TRUE,4,19,TRUE,FALSE,1|3|13,,FALSE,0,25,,,,,
,62,1,2,,,,,FALSE,,2,1,68,2,0,0,1|2|5|6,,0,,9,1,3,FALSE,2,,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,43,27/09/2017
,84.6,2,2,,,,,FALSE,,1|2,3,156,3,1,0,1|2|3,,0,,54,1,3,FALSE,1,,FALSE,FALSE,0,,FALSE,1,2,,FALSE,,,
,69.5,1,3,,,,,FALSE,,0,2,69,3,0,0,1|2|5|6,,0,,11,4,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,,
,80.3,1,4,,,,,FALSE,,1|2|6,3,119,3,1,0,1|2|5|6,,0,,7,3,2,TRUE,2,,FALSE,FALSE,1,,FALSE,1,4,,FALSE,,,
,83.1,1,2,,,,,FALSE,,2,2,89,3,0,0,1|2,,0,,3,1,3,FALSE,2,,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,50,02/10/2017
,72.7,1,2,,,,,FALSE,,2,2,103,2,0,0,1|2|5|6,,0,,6,1,2,TRUE,1,0,FALSE,FALSE,0,,TRUE,1,2,FALSE,FALSE,,59,10/10/2017
,68,2,3,,,,,FALSE,,2,1,73,3,0,0,1|5,,0,,9,3,2,TRUE,2,0,FALSE,FALSE,0,,FALSE,1,4,FALSE,FALSE,,,
,75.6,1,3,,,,,FALSE,,2|3|4|6,2,103,3,0,0,1|2|5,,0,,102,3,2,TRUE,1,0,FALSE,FALSE,1|2,,FALSE,1,2,FALSE,FALSE,,43,25/09/2017
,65.7,1,1,,,,,FALSE,,2,3,98,2,0,0,1|2|5|6,,0,,,2,1,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,54,04/10/2017
,84.8,1,3,,,,,FALSE,,1,3,69,3,0,0,1|2|5|6,,0,,10,1,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,45,25/09/2017
,60.3,1,2,,,,,FALSE,,0,2,88,3,0,0,1|2|5|6,,0,,12,3,2,FALSE,2,,FALSE,FALSE,0,,TRUE,1,2,FALSE,FALSE,,51,02/10/2017
,75.4,2,2,,,,,FALSE,,2,3,73,3,0,0,1|2|4|5|6,,0,,59,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,12,FALSE,FALSE,,52,02/10/2017
,81.8,1,2,,,,,FALSE,,2,2,149,3,0,0,1|2,,0,,52,3,1,TRUE,1,0,FALSE,FALSE,0,,TRUE,1,11,FALSE,FALSE,,61,11/10/2017
,76.1,1,2,,,,,FALSE,,2|4,1,100,3,0,0,1|2|3|4|5|6,,0,,4,3,2,TRUE,2,0,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,,51,02/10/2017
,63,2,2,,,,,FALSE,,1|2,1,50,3,0,0,1|2|4|5|6,,0,,6,3,2,FALSE,2,0,FALSE,FALSE,0,,FALSE,1,7,FALSE,FALSE,,51,02/10/2017
,75.3,1,2,,,,,FALSE,,2|6,2,158,3,0,0,1|2|3|4|5,,0,,36,4,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,42,22/09/2017
,72.7,1,2,,,,,FALSE,,3,1,57,2,0,0,1|2|5|6,,0,,5,3,2,FALSE,2,0,FALSE,FALSE,0,,FALSE,1,9,FALSE,FALSE,,,
,64.6,1,2,,,,,FALSE,,1|2|4,2,76,3,0,0,1|2|4|5|6,,0,,34,5,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,4,FALSE,FALSE,,67,18/10/2017
,67.3,1,2,,,,,FALSE,,2,2,135,3,0,0,1|2|5|6,,0,,8,1,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,40,19/09/2017
,69.7,1,2,,,,,FALSE,,2,1,103,2,0,0,1|2|4|5,,0,,8,3,2,FALSE,2,,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,,
,87.4,1,2,,,,,FALSE,,4,2,123,3,0,0,1|2|3,,0,,47,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,7,FALSE,FALSE,,48,27/09/2017
,68.6,1,3,,,,,FALSE,,2|4,2,68,3,1,0,1|5|6,,0,,133,2,2,FALSE,1,,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,69,18/10/2017
,68.2,1,2,,,,,FALSE,,1|2|4,1,74,3,0,0,1|2|3|5|6,,0,,7,1,1,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,,
,73.6,1,3,,,,,FALSE,,1|2|4,2,89,3,1,0,1|3|5|6,,0,,10,2,2,FALSE,1,,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,64,12/10/2017
,77.3,1,2,,,,,FALSE,,4,1,85,2,0,0,1|2|4|5|6,,0,,8,1,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,47,25/09/2017
,70.3,2,2,,,,,FALSE,,2|4|5,1,94,3,1,0,2|5|6,,0,,,1,2,FALSE,1,,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,57,05/10/2017
,67.3,2,2,,,,,FALSE,,3|4,1,73,3,0,0,1|2|3|4|6,,0,,8,1,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,,42,21/09/2017
,56.7,1,1,,,,,FALSE,,4,2,64,2,1,0,1|2|3|6,,0,,,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,,,
,69.9,2,1,,,,,FALSE,,2|3,2,67,2,0,0,1|2|3|5,,0,,,1,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,48,25/09/2017
,80.1,1,3,,,,,FALSE,,2|3,2,75,3,0,0,1|2|3|5|6,,0,,7,4,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,,47,25/09/2017
,70.4,1,2,,,,,FALSE,,2,2,90,2,0,0,1|2|4|5|6,,0,,20,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,63,10/10/2017
,77.7,1,2,,,,,FALSE,,2,1,73,2,0,0,1|2|5|6,,0,,7,1,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,31,FALSE,FALSE,,15,21/09/2017
,75.1,2,1,,,,,FALSE,,1|2|3,1,53,3,0,0,1|2|5|6,,0,,,1,2,FALSE,2,1,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,71,19/10/2017
,62.3,1,2,,,,,FALSE,,2,2,82,3,0,0,1|3|4|5|6,,0,,7,1,1,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,4,FALSE,FALSE,,60,05/10/2017
,88.4,1,2,,,,,FALSE,,1|2,3,88,4,0,0,1|2,,0,,10,3,1,FALSE,4,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,67,11/10/2017
,84.3,1,3,,,,,FALSE,,1|2|4,2,126,3,0,0,1|2|3|4,,0,,40,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,,
,88.8,2,3,,,,,FALSE,,2,3,59,2,0,0,1|2|5,,0,,11,3,2,FALSE,2,,FALSE,FALSE,0,,FALSE,1,6,FALSE,FALSE,,64,09/10/2017
,81.3,1,2,,,,,FALSE,,2,3,60,2,0,0,1|5|6,,0,,8,3,2,TRUE,1,0,FALSE,FALSE,0,,TRUE,1,2,FALSE,FALSE,,37,11/09/2017
,64.9,1,2,,,,,FALSE,,1|2,1,72,3,0,0,1|2|5,,0,,43,3,2,FALSE,2,,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,,
,79.3,2,2,,,,2,FALSE,,2|3,3,64,3,0,0,1|2|4,,0,,77,1,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,,FALSE,,,
,70.6,2,2,,,,,FALSE,,2,1,80,2,0,0,1|3|5|6,,0,,49,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,,102,15/11/2017
,78.1,2,2,,,,,FALSE,,0,2,84,2,0,0,1,,0,,14,3,2,TRUE,2,2,FALSE,FALSE,0,,FALSE,1,21,FALSE,FALSE,,,
,85.5,1,2,,,,,FALSE,,2|4,3,73,3,0,0,1|2|5|6,,0,,19,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,,
,80.3,2,2,,,,,FALSE,,2|4,2,76,3,0,0,1|2|5|6,,0,,9,5,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,4,FALSE,FALSE,,,
,72.7,2,3,,,,,FALSE,,1|2,3,91,3,0,0,1|4|5|6,,0,,13,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,54,27/09/2017
,66,2,1,,,,,FALSE,,3,2,59,2,0,0,1,,0,,,1,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,5,FALSE,FALSE,,42,18/09/2017
,75,1,1,,,,,FALSE,,1|2|5,2,90,4,1,0,1|2|5|6,,0,,,2,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,80,23/10/2017
,78.8,1,2,,,,,FALSE,,1|2,2,104,3,0,0,1|2|5|6,,0,,31,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,59,02/10/2017
,70.4,1,2,,,,,FALSE,,3,3,90,2,0,0,1|2|4|5|6,,0,,5,3,2,TRUE,4,1,FALSE,FALSE,0,,FALSE,1,5,FALSE,FALSE,,63,06/10/2017
,70.8,1,2,,,,,FALSE,,2|4,2,78,3,0,0,1|2|5|6,,0,,8,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,9,FALSE,FALSE,,49,29/09/2017
,63.9,1,2,,,,,FALSE,,0,2,88,2,0,0,1|2|5,,0,,8,1,2,FALSE,1,0,FALSE,FALSE,0,,TRUE,1,1,FALSE,FALSE,,17,21/08/2017
,73.3,2,1,,,,,FALSE,,2|4,2,110,3,0,0,1|2|4|5|6,,0,,,1,2,FALSE,2,1,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,50,22/09/2017
,77.6,1,2,,,,,FALSE,,2|4,2,119,3,0,0,1|5|6,,0,,159,3,2,TRUE,1,,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,46,18/09/2017
,71.1,2,2,,,,,FALSE,,2,2,62,3,0,0,1|2|5,,0,,26,5,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,51,23/09/2017
,56.2,1,2,,,,,FALSE,,2|4,1,105,3,0,0,1|2|3|5,,0,,18,5,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,51,23/09/2017
,53.6,1,1,,,,,FALSE,,1|3|4,1,71,4,0,0,1|2|3|4|5,,0,,,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,14,FALSE,FALSE,,41,13/09/2017
,61.8,1,2,,,,,FALSE,,2,3,86,3,0,0,4,,0,,6,2,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,50,21/09/2017
,73.3,1,1,,,,,FALSE,,2|3|4,1,74,3,0,0,1|2|4|5|6,,0,,,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,68,09/10/2017
,72.4,1,1,,,,,FALSE,,1|4,3,98,3,0,0,1|2|4|5|6,,0,,,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,,6,09/08/2017
,62,1,2,,,,,FALSE,,0,1,62,3,0,0,1|2|4,,0,,9,4,2,FALSE,2,1,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,,56,28/09/2017
,81.8,1,2,,,,,FALSE,,1|2,1,77,3,0,0,1|2|5|6,,0,,14,1,1,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,,
,80.1,2,1,,,,,FALSE,,2,2,81,2,0,0,2|3|4,,0,,,2,3,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,49,20/09/2017
,84.5,1,2,,,,,FALSE,,2,3,68,3,1,0,1|2,,0,,9,3,1,FALSE,2,0,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,,54,27/09/2017
,64,2,3,,,,,FALSE,,1|2|3,1,55,3,0,0,1|2|4|5|6,,0,,15,3,2,TRUE,2,0,FALSE,FALSE,0,,FALSE,1,2,,FALSE,,43,14/09/2017
,63,1,4,,,,,FALSE,,0,1,79,2,0,0,1|2,,0,,13,1,1,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,34,05/09/2017
,54,1,2,,,,,FALSE,,0,2,72,2,0,0,1|2|5|6,,0,,8,1,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,,55,27/09/2017
,67.1,1,2,,,,,FALSE,,2,2,56,3,0,0,1|2|4|5|6,,0,,29,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,,,
,72.2,1,1,,,,,FALSE,,2|3,2,92,2,0,0,1|2|3|4|5|6,,0,,,1,2,TRUE,2,,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,34,05/09/2017
,83,1,1,,,,,FALSE,,2|4,3,166,3,0,0,1|2,,0,,,1,2,FALSE,1,,FALSE,FALSE,5,,FALSE,1,4,,FALSE,,27,30/08/2017
,88.4,2,2,,,,,FALSE,,2,2,70,2,0,0,1|2|5|6,,0,,20,1,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,29,30/08/2017
,60.8,1,2,,,,,FALSE,,2|4,1,97,3,1,0,2|4|5|6,,0,,13,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,41,11/09/2017
,67.7,1,2,,,,1,FALSE,,1|2,3,125,3,0,0,1|2,,0,,142,5,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,2,,FALSE,,,
,76.7,1,2,,,,,FALSE,,2,3,56,2,0,0,2|3|4|5,,0,,36,3,2,TRUE,2,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,,
,80.3,1,2,,,,,FALSE,,2,3,75,3,0,0,1|2|4|5|6,,0,,11,3,2,TRUE,2,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,57,25/09/2017
,77.7,1,3,,,,1,FALSE,,2,3,83,3,0,0,1|2|4,,0,,23,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,2,,FALSE,,,
,64.1,1,1,,,,,FALSE,,1|2|4,2,67,2,0,0,1|2|5|6,,0,,,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,,
,66.4,1,2,,,,,FALSE,,2|4,2,88,3,0,0,1|2|4|5|6,,0,,13,4,2,TRUE,1,,FALSE,FALSE,0,,FALSE,1,3,TRUE,FALSE,,,
,72.3,1,2,,,,,FALSE,,2,3,65,3,0,0,1|4|5|6,,0,,6,2,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,55,22/09/2017
,76.8,2,2,,,,,FALSE,,3,2,73,3,0,0,1|5,,0,,7,3,2,TRUE,2,0,FALSE,FALSE,0,,FALSE,1,21,FALSE,FALSE,,,
,82.4,2,3,,,,,FALSE,,3|4,2,79,3,0,0,1|2|5|6,,0,,49,1,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,45,11/09/2017
,81,2,2,,,,,FALSE,,1|2,1,113,2,0,0,1|5|6,,0,,9,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,41,08/09/2017
,78.6,2,2,,,,,FALSE,,2,2,53,3,1,0,2|5|6,,0,,16,2,2,TRUE,2,0,FALSE,FALSE,0,,FALSE,1,4,FALSE,FALSE,,79,18/10/2017
,70.1,1,2,,,,,FALSE,,0,3,116,3,0,0,1|2|6,,0,,8,1,1,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,61,27/09/2017
,79.2,1,4,,,,,FALSE,,2|6,2,114,3,0,0,1|2|4,,0,,12,3,2,FALSE,2,,FALSE,FALSE,0,,FALSE,1,30,FALSE,FALSE,,,
,60.9,1,3,,,,,FALSE,,2|4|5,2,104,4,1,0,1|2|3|4|5|6,,0,,82,1,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,36,01/09/2017
,82.3,1,2,,,,,FALSE,,2|6,2,127,2,0,0,1|2|4|5|6,,0,,57,3,2,TRUE,1,,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,,54,21/09/2017
,69.1,1,2,,,,,FALSE,,2|3|4,1,119,3,0,0,1|2|5|6,,0,,13,1,2,FALSE,1,,FALSE,FALSE,0,,FALSE,1,125,FALSE,FALSE,,,
,72.9,1,3,,,,,FALSE,,2,3,48,2,0,0,4,,0,,8,5,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,,66,02/10/2017
,69.1,2,3,,,,,FALSE,,2|4,2,85,3,0,0,1|3|5,,0,,31,5,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,18,14/08/2017
,62,2,3,,,,,FALSE,,2,1,51,3,0,0,1|2|5|6,,0,,22,3,2,TRUE,1,0,FALSE,FALSE,0,,TRUE,1,2,FALSE,FALSE,,35,31/08/2017
,84.9,2,2,,,,,FALSE,,2,2,78,3,0,0,1|2|4|5,,0,,22,4,2,TRUE,2,0,FALSE,FALSE,0,,FALSE,1,6,FALSE,FALSE,,,
,64.5,1,4,,,,,FALSE,,2|4,2,117,3,0,0,1|2|3|5|6,,0,,12,1,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,56,20/09/2017
,73.2,1,1,,,,,FALSE,,1|4,2,85,3,0,0,1|2|3,,0,,,1,1,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,47,11/09/2017
,67,2,2,,,,,FALSE,,2|3,1,45,3,0,0,1|4|6,,0,,18,1,1,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,40,04/09/2017
,60.4,1,3,,,,,FALSE,,1,1,62,2,0,0,1|2,,0,,2,3,2,TRUE,1,,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,56,21/09/2017
,45.8,2,3,,,,,FALSE,,2,1,59,2,0,0,1|2|5|6,,0,,23,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,54,18/09/2017
,72.3,2,5,,,,,FALSE,,0,1,96,2,0,0,1|2,,0,,123,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,105,09/11/2017
,37.5,1,4,,,,,FALSE,,1|2,1,62,2,0,0,1|2|5|6,,1,,7,1,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,51,14/09/2017
,78.9,1,3,,,,1,FALSE,,2|3|4,2,95,3,1,0,1|2|3,,0,,34,1,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,2,,FALSE,,,
,78.8,2,4,,,,,FALSE,,4,3,97,3,0,0,1|2,,0,,12,1,2,FALSE,2,,FALSE,FALSE,0,,FALSE,1,8,FALSE,FALSE,,71,05/10/2017
,49,2,2,,,,,FALSE,,2,2,76,3,0,0,1|2|3|5|6,,0,,14,3,2,FALSE,1,,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,42,05/09/2017
,59.9,2,3,,,,,FALSE,,2|3,1,65,2,0,0,1|2|5|6,,0,,105,4,2,TRUE,1,,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,72,05/10/2017
,66.8,1,2,,,,,FALSE,,2|4,2,109,3,0,0,1|2|3|5|6,,0,,14,1,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,58,21/09/2017
,71.7,2,4,,,,,FALSE,,2|4,1,58,2,0,0,1|2|4|5|6,,0,,17,1,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,73,06/10/2017
