Column,Name of Column,Test question,Data Type,Data Processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,78.6,1,2,,,,,FALSE,,2|3|6,2,85,3,0,4,1|5|6,,0,,14,1,2,TRUE,2,2,FALSE,FALSE,0,,FALSE,1,5,FALSE,FALSE,,27,27/10/2017
,66.4,2,1,,,,,FALSE,,2,2,57,3,0,4,1|2|4|5|6,,0,,,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,,63,29/11/2017
,64.8,1,4,,,,,FALSE,,2|4,2,77,3,0,4,1|2|4|5|6,,1,,14,1,3,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,,13,03/10/2017
,59.3,2,4,,,,,FALSE,,1|2|4,2,74,3,0,4,1|2|5|6,,1,,3,1,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,6,FALSE,FALSE,,66,24/11/2017
,64.3,1,4,,,,,FALSE,,2|4,1,51,3,0,4,1|2|5|6,,0,,2,1,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,,
,82.9,2,4,,,,,FALSE,,1|2,2,114,3,0,4,1|2|4|5|6,,1,,8,3,2,FALSE,2,,FALSE,FALSE,0,,FALSE,1,54,FALSE,FALSE,,,
,66.1,2,4,,,,,FALSE,,1,2,47,4,0,4,1,,0,,16,3,2,FALSE,2,1,FALSE,FALSE,0,,FALSE,1,19,TRUE,FALSE,,60,17/10/2017
,54.8,1,4,,,,,FALSE,,2,1,88,4,0,4,1|2|4|5|6,,0,,10,3,2,FALSE,2,,FALSE,FALSE,0,,FALSE,1,6,FALSE,FALSE,,26,14/09/2017
,61.5,1,4,,,,,FALSE,,1|2|3|6,2,202,3,0,4,1|2|5|6,,0,,11,3,1,FALSE,2,2,FALSE,FALSE,3,,FALSE,1,11,TRUE,TRUE,,46,03/10/2017
,76.6,1,2,,,,,FALSE,,2,2,78,3,1,4,1|2,,0,,277,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,5,FALSE,FALSE,,156,10/01/2018
,81.1,1,4,,,,,FALSE,,1|2|4,3,102,3,0,4,2|5|6,,1,,10,3,1,FALSE,2,1,FALSE,FALSE,0,,FALSE,1,16,TRUE,FALSE,,,
,85.7,1,4,,,,,FALSE,,2|3|4|6,2,111,4,1,4,2|4|5|6,,0,,155,3,2,TRUE,1,0,FALSE,FALSE,3,,FALSE,1,47,FALSE,TRUE,,191,28/02/2018
,73.8,1,2,,,,,FALSE,,2,2,123,3,0,4,1|4|5|6,,0,,61,1,1,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,TRUE,,42,03/08/2017
,88.5,1,4,,,,,FALSE,,2|3|4,2,109,3,0,4,1|2|4|5|6,,1,,14,5,1,FALSE,2,2,FALSE,FALSE,1,,FALSE,1,12,FALSE,FALSE,,,
,63.3,1,4,,,,,TRUE,,1|2,2,101,3,0,4,1|2|3|4|5|6,,0,,14,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,,,
,69.3,1,2,,,,,FALSE,,1|2|3|4,1,78,3,0,4,1|2,,1,,35,3,2,FALSE,2,1,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,28,14/06/2017
,85.5,2,4,,,,,FALSE,,2|3|4|5,2,61,3,1,4,1,,1,,17,5,2,FALSE,2,1,FALSE,FALSE,0,,FALSE,1,24,FALSE,FALSE,,39,27/06/2017
,56.1,1,4,,,,,FALSE,,0,1,66,3,0,4,1|2,,1,,12,2,1,FALSE,2,0,FALSE,FALSE,0,,FALSE,1,17,FALSE,FALSE,,,
,60.6,2,4,,,,,FALSE,,3,1,66,3,0,4,1|2,,0,,6,3,1,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,13,FALSE,FALSE,,44,26/06/2017
,76.7,1,4,,,,,FALSE,,4,2,101,3,0,4,1|2,,1,,6,4,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,2,,FALSE,,,
,65.3,1,1,,,,,FALSE,,3,2,71,4,0,4,1|2|5|6,,0,,,3,2,TRUE,2,,FALSE,FALSE,0,,FALSE,1,3,TRUE,FALSE,,93,11/07/2017
,77,1,4,,,,,FALSE,,1|2|3|4|5,1,58,4,0,4,1|2|3|4|5|6,,0,,13,4,2,TRUE,2,,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,55,23/05/2017
,72.3,1,4,,,,,FALSE,,2,3,74,3,0,4,1|2|3|5|6,,0,,4,3,2,TRUE,1,,FALSE,FALSE,2,,FALSE,1,13,FALSE,FALSE,,46,09/05/2017
,62.7,1,4,,,,,FALSE,,0,3,78,2,0,4,1|2|5|6,,0,,5,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,,
,60.9,1,4,,,,,FALSE,,0,1,73,3,0,4,1|2|5|6,,1,,15,3,2,FALSE,1,,FALSE,FALSE,0,,FALSE,1,24,FALSE,FALSE,,42,03/05/2017
,86.9,2,5,,,,,FALSE,,2,3,65,3,0,4,1|2,,0,,16,5,2,FALSE,2,0,FALSE,FALSE,0,,FALSE,1,3,TRUE,FALSE,,81,31/05/2017
